Gendered words in topics,,"feminine, masculine, neutral",,
,,,,
Topic,top 15 topic words,especially dominant in documents,,
1,er es hand hob blick seite kopf stadt frau boden hände trat stand trug schlug,Claudia Kern: Der verwaiste Thron 1–3; Bernd Perplies: Imperium der Drachen 1&2; Wolfgang Hohlbein: Thor,,
2,es augen vater stand luft stimme blieb angst fiel moment licht herz blick sicher starrte,Mela Nagel: Burning Magic 1–3; Daphne Unruh: Zauber der Elemente 1–3; Jennifer Alice Jager: Terra 1–4,,"neither ""sie"" nor ""er"": stimme, angst, fiel, moment, licht, herz, sicher, starrte"
3,sie tür soldaten kopf gesicht dachte wasser pferd rücken festung fürst blieb männer stand stehen,Claudia Kern: Der verwaiste Thron 1–3; Bernd Perplies: Imperium der Drachen 1&2; Bernd Perplies: Im Schatten des Mondkaisers,,
4,sie gesicht abtrünnigen boden energiefenster zelt luft energie ehe arena rief lächelte energiespeicher laut jägerschule,Carina Zacharias: Emba 1&2; Katharina Herzog: Faye – Herz aus Licht und Lava; Keto von Waberer: Mingus; Mela Nagel: Burning Magic 1–3; Bernd Perplies: Flammen über Arcadion; Linda Rottler: Die Stadt der gläsernen Träume,,
5,sie hand mutter kopf paar fest leute passiert fall ahnung schön weißt hause frau bitte,"Katharina Herzog: Faye – Herz aus Licht und Lava; Andreas Eschbach: Aquamarin, Ultramarin und Submarin; Daphne Unruh: Zauber der Elemente 1–3; Keto von Waberer: Mingus",,
6,sie augen er gesicht stehen tisch laut essen alte langsam vorbei alten draußen arme namen,"Keto von Waberer: Mingus; Katharina Hartwell: Die Silbermeer-Saga; Claudia Kern: Der verwaiste Thron 1–3; Andreas Eschbach: Aquamarin, Submarin und Ultramarin; Wolfgang Hohlbein: Die Tochter der Midgardschlange; Linda Rottler: Die Stadt der gläsernen Träume",,
7,sie könig soldaten es männer senator drachen bruder schwester sohn da'aria rat aman'dur königs grekeas,Bernd Perplies: Imperium der Drachen 1&2; Bernd Perplies: Im Schatten des Mondkaisers; Bernd Perplies: Flammen über Arcadion,,
8,sie es tür männer mutanten templer gesicht eltern straße wildnis kapsel rief soldaten straßenjunge blickte,Bernd Perplies: Im Schatten des Mondkaisers; Bernd Perplies: Flammen über Arcadion; Bernd Perplies: Imperium der Drachen 1&2; Andreas Eschbach: Ultramarin; Linda Rottler: Die Stadt der gläsernen Träume,,
9,sie es brand mum kopf tür wasser boot mädchen hexe fischer inseln worte händler sprach,Katharina Hartwell: Die Silbermeer-Saga; Katharina Herzog: Faye – Herz aus Licht und Lava,,
10,sie quelle feuer tür gesicht kopf nebel finger blick gedanken hände träume körper augen hand,Mela Nagel: Burning Magic 1–3; Linda Rottler: Die Stadt der gläsernen Träume; Katharina Herzog: Faye – Herz aus Licht und Lava,,
